Lenght Selection Bubble Insertion Quick
360 64980 64620 32266 3427
360 64980 64620 32322 2979
360 64980 64620 31283 2973
360 64980 64620 31653 3149
360 64980 64620 31502 3718
360 64980 64620 31946 3121
360 64980 64620 31486 3505
360 64980 64620 30571 3263
360 64980 64620 33469 3557
360 64980 64620 32409 3320
370 68635 68265 34046 2968
370 68635 68265 33303 2978
370 68635 68265 36291 3280
370 68635 68265 34119 3561
370 68635 68265 35037 3103
370 68635 68265 33645 3541
370 68635 68265 35140 3262
370 68635 68265 34202 3160
370 68635 68265 32695 3123
370 68635 68265 35164 3369
370 68635 68265 34711 3538
370 68635 68265 35431 2995
370 68635 68265 33213 3195
370 68635 68265 33295 3857
370 68635 68265 34142 3113
380 72390 72010 36258 3469
380 72390 72010 38663 3596
380 72390 72010 36928 3481
380 72390 72010 37121 3343
380 72390 72010 36207 3485
380 72390 72010 34177 3399
380 72390 72010 36368 3193
380 72390 72010 35278 3923
380 72390 72010 34923 3471
380 72390 72010 36016 3710
380 72390 72010 34630 3488
380 72390 72010 36570 3861
380 72390 72010 34467 3170
380 72390 72010 35205 3730
380 72390 72010 37192 3158
390 76245 75855 36709 3316
390 76245 75855 38519 3183
390 76245 75855 39365 3702
390 76245 75855 36521 3738
390 76245 75855 37954 4062
390 76245 75855 39549 3549
390 76245 75855 36996 3328
390 76245 75855 39365 3635
390 76245 75855 38701 3631
390 76245 75855 35258 3600
390 76245 75855 39262 3565
390 76245 75855 36976 3594
390 76245 75855 36008 3919
390 76245 75855 36392 3789
390 76245 75855 37602 3853
400 80200 79800 39148 3577
400 80200 79800 43566 4096
400 80200 79800 42704 3918
400 80200 79800 38873 3481
400 80200 79800 41378 3891
400 80200 79800 39083 3682
400 80200 79800 41425 3484
400 80200 79800 39716 3884
400 80200 79800 38552 3372
400 80200 79800 40473 4246
400 80200 79800 39323 3374
400 80200 79800 41713 3343
400 80200 79800 37007 3360
400 80200 79800 38949 4050
400 80200 79800 41054 3729
410 84255 83845 39786 3905
410 84255 83845 40308 3481
410 84255 83845 41053 3888
410 84255 83845 42507 3710
410 84255 83845 41181 3634
410 84255 83845 42871 3682
410 84255 83845 42538 3698
410 84255 83845 43282 3437
410 84255 83845 42092 3564
410 84255 83845 41289 3695
410 84255 83845 40691 3711
410 84255 83845 42268 4077
410 84255 83845 40404 3832
410 84255 83845 39926 4038
410 84255 83845 42004 3535
420 88410 87990 41712 4114
420 88410 87990 43079 3763
420 88410 87990 40040 3830
420 88410 87990 44228 3601
420 88410 87990 42841 3653
420 88410 87990 44413 4033
420 88410 87990 44310 3665
420 88410 87990 44974 4349
420 88410 87990 42916 4039
420 88410 87990 43907 3878
420 88410 87990 45134 3812
420 88410 87990 46083 3544
420 88410 87990 43304 3982
420 88410 87990 43209 3746
420 88410 87990 43650 4187
430 92665 92235 45990 4040
430 92665 92235 45061 4111
430 92665 92235 49748 4103
430 92665 92235 46239 3641
430 92665 92235 43786 4425
430 92665 92235 46212 3824
430 92665 92235 46683 3841
430 92665 92235 45496 4568
430 92665 92235 46665 4170
430 92665 92235 45463 4182
430 92665 92235 45815 4118
430 92665 92235 44119 4048
430 92665 92235 46340 4423
430 92665 92235 45402 3960
430 92665 92235 47342 4007
440 97020 96580 49143 4051
440 97020 96580 45440 4085
440 97020 96580 49582 4484
440 97020 96580 47508 4236
440 97020 96580 49205 4201
440 97020 96580 49234 4218
440 97020 96580 45342 3918
440 97020 96580 49358 3713
440 97020 96580 49833 3861
440 97020 96580 49959 3995
440 97020 96580 46248 4413
440 97020 96580 46895 4323
440 97020 96580 45808 4228
440 97020 96580 49480 4665
440 97020 96580 48384 4258
450 101475 101025 51929 4369
450 101475 101025 49971 4325
450 101475 101025 48711 4595
450 101475 101025 52851 4019
450 101475 101025 49022 3930
450 101475 101025 50208 3988
450 101475 101025 51424 4710
450 101475 101025 50079 4451
450 101475 101025 50012 4600
450 101475 101025 51950 3837
450 101475 101025 51476 3939
450 101475 101025 50306 4849
450 101475 101025 51516 3772
450 101475 101025 50764 4464
450 101475 101025 51732 4343
460 106030 105570 51322 4216
460 106030 105570 53685 4094
460 106030 105570 51421 4016
460 106030 105570 51945 4027
460 106030 105570 52758 4451
460 106030 105570 54202 4225
460 106030 105570 55668 4595
460 106030 105570 52727 4152
460 106030 105570 50877 4554
460 106030 105570 52625 4110
460 106030 105570 52890 4222
460 106030 105570 54222 4263
460 106030 105570 52629 4434
460 106030 105570 51480 4203
460 106030 105570 51812 4345
470 110685 110215 58704 4602
470 110685 110215 55692 5332
470 110685 110215 54108 4230
470 110685 110215 55399 4342
470 110685 110215 56267 4735
470 110685 110215 53964 4991
470 110685 110215 54688 4828
470 110685 110215 54812 4079
470 110685 110215 51801 4555
470 110685 110215 56349 5210
470 110685 110215 53423 4653
470 110685 110215 54531 4238
470 110685 110215 57163 4454
470 110685 110215 49637 4416
470 110685 110215 55041 4892
480 115440 114960 57214 4599
480 115440 114960 58759 4261
480 115440 114960 56019 4285
480 115440 114960 56693 4663
480 115440 114960 54544 4623
480 115440 114960 59011 4484
480 115440 114960 58056 4242
480 115440 114960 56292 4709
480 115440 114960 56004 4939
480 115440 114960 56182 4910
480 115440 114960 53201 4408
480 115440 114960 56488 4500
480 115440 114960 57739 5003
480 115440 114960 60687 4536
480 115440 114960 56087 4768
490 120295 119805 59482 4904
490 120295 119805 63428 4576
490 120295 119805 64414 4678
490 120295 119805 59573 4893
490 120295 119805 61809 4530
490 120295 119805 60023 4229
490 120295 119805 60928 4179
490 120295 119805 57395 4608
490 120295 119805 63587 4722
490 120295 119805 58820 5082
490 120295 119805 57786 4734
490 120295 119805 59379 4660
490 120295 119805 61402 4862
490 120295 119805 61470 4345
490 120295 119805 63060 4904
500 125250 124750 61960 4322
500 125250 124750 61577 4896
500 125250 124750 64392 5169
500 125250 124750 61302 5309
500 125250 124750 61730 5156
500 125250 124750 63284 4947
500 125250 124750 61778 5092
500 125250 124750 62846 4713
500 125250 124750 58302 5502
500 125250 124750 59189 4790
500 125250 124750 63731 5011
500 125250 124750 63136 5119
500 125250 124750 62382 4499
500 125250 124750 61989 4694
500 125250 124750 60950 5228
510 130305 129795 64979 4813
510 130305 129795 67662 4584
510 130305 129795 69283 4521
510 130305 129795 64373 4737
510 130305 129795 68988 4968
510 130305 129795 64031 4857
510 130305 129795 64718 4554
510 130305 129795 65022 5391
510 130305 129795 66547 4428
510 130305 129795 63747 4522
510 130305 129795 65645 4724
510 130305 129795 64705 4880
510 130305 129795 66216 4693
510 130305 129795 63472 4521
510 130305 129795 64272 4999
520 135460 134940 68413 5502
520 135460 134940 65288 5298
520 135460 134940 67991 4937
520 135460 134940 64561 6114
520 135460 134940 66743 5208
520 135460 134940 70279 5120
520 135460 134940 67242 4582
520 135460 134940 69117 4837
520 135460 134940 69355 5351
520 135460 134940 62421 4771
520 135460 134940 65588 4984
520 135460 134940 66117 6991
520 135460 134940 64870 5199
520 135460 134940 69389 5348
520 135460 134940 69866 4655
530 140715 140185 70302 5137
530 140715 140185 69707 4899
530 140715 140185 74045 4620
530 140715 140185 69200 5220
530 140715 140185 70202 4803
530 140715 140185 70610 4841
530 140715 140185 70808 4769
530 140715 140185 70366 4726
530 140715 140185 71323 5033
530 140715 140185 71006 5193
530 140715 140185 69407 4733
530 140715 140185 67362 5152
530 140715 140185 69641 5167
530 140715 140185 68670 5458
530 140715 140185 69769 5543
540 146070 145530 73611 5391
